ProductModelName,ProductCategory,ProductPrice,RetailerName,RetailerZip,RetailerCity,RetailerState,ProductOnSale,ManufacturerName,ManufacturerRebate,UserID,UserAge,UserGender,UserOccupation,ReviewRating,ReviewDate,ReviewText
HP PAVALION  15.6,Laptop,376,Bestbuy,33130,Miami,FL,No,HP,No,cchqd48,26,Female,Accountant,5,11/25/2014,Quick startup. No lag time with streaming. Very pleased.
iPhone 6,Smart Phone,299,Frys,60603,Chicago,IL,Yes,Apple,No,jzcyv30,20,Female,Unknown,5,6/10/2014,I love this phone still easy and simple to use so far no complaints
HP PAVALION  15.6,Laptop,319,Walmart,94102,San Francisco,CA,No,HP,No,jzsqf21,57,Male,Secretary,5,9/21/2014,It's great for everyday usage and has a nice look to it as well. Money well spent!! I will purchase another one for my husband because he is always using mine!
Galaxy S4,Smart Phone,402,Target,60616,Chicago,IL,No,Samsung,No,xssex64,28,Male,Accountant,5,2/15/2015,Second one I've had (dropped the first one in water after 2+ years of ownership) and I love it.
LG 65,TV,849,hhgregg,60616,Chicago,IL,Yes,LG,Yes,vsiob97,40,Male,Unknown,2,12/27/2014,LG didn't even bother to include an optical port to add a sound bar
Dell Ispiron 15.6,Laptop,449,Walmart,2108,Boston,MA,Yes,Dell,No,sjdnx21,25,Male,Student,5,8/13/2014,Worth the money . I really like windows 8 for the touch screen.
iPad Air,Tablet,425,hhgregg,2110,Boston,MA,Yes,Apple,No,tzugk29,32,Male,Programmer,1,9/20/2014,CPU overheats and dies after few hours of use
Galaxy S4,Smart Phone,399,Bestbuy,2110,Boston,MA,No,Samsung,No,abtuf34,41,Male,Programmer,1,9/17/2014,Battery overheats after few hours and then turns off
LG 65,TV,999,Frys,60616,Chicago,IL,No,LG,No,eyjfn64,24,Female,Secretary,4,5/15/2013,Only complaint is the VGA Port on this TV is a service only port so the geek squad could not connect my laptop because I did not have an the right cabling.
Surface 3,Tablet,999,Bestbuy,94158,San Francisco,CA,No,Microsoft,No,czzyr34,48,Male,Secretary,5,11/25/2014,I have used it in conjunction with the dock and two monitors and have absolutely no complaints about it yet. 
Galaxy S4,Smart Phone,269,Walmart,33130,Miami,FL,Yes,Samsung,Yes,hdmoq49,35,Male,Unknown,4,6/10/2014, Use this phone for work. Loading work email was a little tricky. But now that it is loaded
HP PAVALION  15.6,Laptop,299,Target,60585,Naperville,IL,Yes,HP,No,ybfjv29,36,Female,Manager,4,10/21/2014, It's nice looking
Samsung TV 65 Curved,TV,2099,Frys,60616,Chicago,IL,Yes,Samsung,No,mefvu16,18,Male,Programmer,4,5/15/2013,Absolutely love this TV but you can't sit too close to it or you can see the pixilation on certain programs. 
Dell Ispiron 15.6,Laptop,499,hhgregg,94158,San Francisco,CA,No,Dell,No,kjrrz66,47,Male,Programmer,3,12/27/2014, This computer
HP PAVALION  15.6,Laptop,376,Frys,60585,Naperville,IL,No,HP,No,ftcoj70,51,Male,Manager,5,8/10/2013,I love all the things you can do with easy access.
Galaxy S4,Smart Phone,269,Frys,90012,Los Angeles,CA,Yes,Samsung,Yes,ztexy80,31,Male,Unknown,5,6/18/2014, Great phone
Samsung Tab 4,Tablet,299,Bestbuy,33130,Miami,FL,Yes,Samsung,No,vablh82,26,Female,Unknown,4,6/25/2014,Nice size colors are vivid. Easy to use. Lite weight.
HP PAVALION  15.6,Laptop,376,hhgregg,2110,Boston,MA,No,HP,No,yugso22,42,Male,Student,4,5/25/2014,Great everyday computer with a lot of features for the price. Good deal too at $329.99.
Galaxy S4,Smart Phone,402,Walmart,44114,Cleveland,OH,No,Samsung,No,yomdb11,51,Male,Student,5,10/8/2014,Undoubtedly the most significant phone ever released - iPhone who?!
LG 65,TV,2250,Bestbuy,90012,Los Angeles,CA,No,LG,No,ekaav88,41,Male,Manager,5,1/17/2015,The picture on this TV is superb.
Dell Ispiron 15.6,Laptop,499,Walmart,90012,Los Angeles,CA,No,Dell,No,iquin59,30,Male,Programmer,5,11/29/2014,First time buyer for a lab top. I'm extremely happy with my purchase and would recommend this to friends.
iPad Air,Tablet,299,hhgregg,60603,Chicago,IL,Yes,Apple,Yes,qzmrp6,43,Female,Unknown,5,3/10/2015,I previously owned a 3rd generation ipad and the one obvious improvement of this ipad air is its lightweight feel. 
Galaxy S4,Smart Phone,402,Walmart,30303,Atlanta,GA,No,Samsung,No,llsjf2,57,Male,Manager,1,4/1/2013,Battery overheats after few hours and then turns off
Samsung TV 65 Curved,TV,1799,Walmart,94102,San Francisco,CA,Yes,Samsung,Yes,ivour25,54,Male,Unknown,2,7/19/2014, I bought it last weekend. It was delivered Tuesday.
Samsung TV 60 LED,TV,1100,hhgregg,33130,Miami,FL,Yes,Samsung,No,yetsx61,18,Female,Programmer,2,3/24/2014,Pixels bounce around so now I have to go back in the store and do return/ exchange and then schedule an uninstall and another install! Spent this amount $$$$ for a headache! Very upset after being on phone w Geek Squad for 40 min then Bestbuy never answers! (On hold 3x)
Samsung TV 65 Curved,TV,1799,Bestbuy,90033,Los Angeles,CA,Yes,Samsung,Yes,onryq64,52,Male,Accountant,4,5/12/2014, Overall great TV 
HP PAVALION  15.6,Laptop,376,Bestbuy,33130,Miami,FL,No,HP,No,aewif93,52,Male,Unknown,3,10/21/2014, i needed an inexpensive laptop to play World of Warcraft on
Samsung Tab 4,Tablet,349,hhgregg,60585,Naperville,IL,No,Samsung,No,tmzvt32,37,Male,Manager,4,12/27/2014, For kids ....... lost interest for now .... they have way to much electronics. But
HP PAVALION  15.6,Laptop,319,hhgregg,90012,Los Angeles,CA,No,HP,No,rlevy9,18,Male,Programmer,5,9/17/2014, My first experience with touch screens on a computer
LG 65,TV,2250,Bestbuy,33130,Miami,FL,No,LG,No,hxeyk98,49,Male,Programmer,4,12/27/2014,I can happily say it's a fantastic deal.
Samsung TV 65 Curved,TV,1899,hhgregg,44114,Cleveland,OH,Yes,Samsung,Yes,dhjdd45,23,Female,Accountant,4,6/21/2014,TV is good. 
Galaxy S4,Smart Phone,390,hhgregg,44114,Cleveland,OH,Yes,Samsung,No,zkwqa63,45,Male,Student,5,3/13/2014, Love this phone
HP PAVALION  15.6,Laptop,299,Walmart,33130,Miami,FL,Yes,HP,No,furss30,54,Female,Student,4,12/10/2014, although there are many apps that I'll probably not use
Samsung TV 65 Curved,TV,1900,Target,94158,San Francisco,CA,No,Samsung,No,nmarp73,18,Male,Accountant,4,4/19/2014,Once again samsung products don't let me down the picture quality is amazing. 
iPad Air,Tablet,499,Frys,94158,San Francisco,CA,No,Apple,No,rzvlj36,39,Female,Secretary,5,12/27/2014,love love .unbelievably light in your hand and take good picture
iPad Air,Tablet,425,Bestbuy,44114,Cleveland,OH,Yes,Apple,No,plikd46,27,Male,Unknown,3,2/15/2015,CPU overheats and dies after few hours of use
iPhone 6,Smart Phone,589,Frys,94158,San Francisco,CA,No,Apple,No,okdfn50,49,Female,Unknown,5,6/21/2014,Love my iPhone...great camera...love the bigger screen.
HP PAVALION  15.6,Laptop,319,Bestbuy,33130,Miami,FL,No,HP,No,uqfxh9,54,Male,Accountant,5,9/19/2013, Touchscreen with plenty of storage space and more memory (6GB) than most of the other brands in the same price range. Terrific price
Surface 3,Tablet,925,Walmart,44114,Cleveland,OH,No,Microsoft,No,wfkxf92,36,Male,Unknown,3,9/24/2014,It has some great components but the new Windows 8 is so not user friendly.
Galaxy S4,Smart Phone,390,Bestbuy,30303,Atlanta,GA,Yes,Samsung,No,ctbfn38,53,Male,Accountant,5,8/10/2014,The young nan was very helpeful and knowledgeable. Will definitely recommend
iPhone 6,Smart Phone,960,hhgregg,60616,Chicago,IL,No,Apple,No,ptezn2,22,Male,Manager,5,7/21/2014, That is technology in your hands
iPhone 6,Smart Phone,960,hhgregg,44114,Cleveland,OH,No,Apple,No,ixrmc63,55,Male,Programmer,5,12/20/2014, The size is perfect and it feels amazing. Games
Samsung TV 65 Curved,TV,2099,Walmart,60603,Chicago,IL,Yes,Samsung,No,jrwpn47,43,Female,Student,4,10/25/2014,Amazing picture quality.
Samsung TV 60 LED,TV,1100,Walmart,94158,San Francisco,CA,Yes,Samsung,No,dccmv46,44,Male,Unknown,4,12/10/2014,This tv has a great high definition picture. Much better than my last tv.
iPad Air,Tablet,499,Walmart,60603,Chicago,IL,No,Apple,No,exzwm42,59,Female,Programmer,5,10/14/2014, I love the iPad Air's size and weight - so easy to take with me and I have everything I need
Samsung Tab 4,Tablet,349,hhgregg,94158,San Francisco,CA,No,Samsung,No,uebrk52,42,Male,Manager,5,6/18/2013,This tablet is really a nice choice for your young child. I also like hancomm office with it
Surface 3,Tablet,999,hhgregg,60616,Chicago,IL,No,Microsoft,No,adwmf46,48,Female,Manager,3,3/10/2015,Getting the new tablet to do what we wanted took another device so we could look up information on the internet.
iPad Air,Tablet,299,Target,60603,Chicago,IL,Yes,Apple,Yes,pynrw94,41,Male,Unknown,1,8/10/2013,CPU overheats and dies after few hours of use
Surface 3,Tablet,999,Frys,44114,Cleveland,OH,No,Microsoft,No,inmap43,48,Female,Programmer,5,12/5/2014,Exactly what I needed to make my businesses run smoother.
LG 65,TV,999,hhgregg,90033,Los Angeles,CA,No,LG,No,eoebx1,18,Male,Accountant,1,6/25/2014,Battery overheats after few hours and then turns off
Dell Ispiron 15.6,Laptop,449,Walmart,60603,Chicago,IL,Yes,Dell,No,etozv1,24,Male,Accountant,4,4/1/2015, Clickpad doesn't play nice with Linux
Samsung Tab 4,Tablet,299,hhgregg,90033,Los Angeles,CA,Yes,Samsung,No,agycp47,23,Male,Programmer,4,10/21/2014,We bought the handheld tablet because it was a good price and we tend to have good luck with Samsung products.
Samsung TV 65 Curved,TV,1799,Bestbuy,90012,Los Angeles,CA,Yes,Samsung,Yes,bmwno37,53,Male,Student,5,6/10/2014, It's a great television
Samsung TV 60 LED,TV,1200,Bestbuy,44114,Cleveland,OH,No,Samsung,No,ejpvs63,18,Male,Student,1,8/10/2013, bought this tv 1.5 yrs ago and from the very start there were nothing but problems.first of all it would not connect to my internet i contacted every tech savvy friend and relative i have
Samsung Tab 4,Tablet,299,Walmart,33129,Miami,FL,Yes,Samsung,No,muutd71,44,Male,Student,4,9/20/2014,I purchased this tablet for my 10 year old to use for school and enjoyment. It works well and has parental control features 
Surface 3,Tablet,899,hhgregg,94102,San Francisco,CA,Yes,Microsoft,No,pldis55,46,Female,Programmer,3,2/26/2014,Plan on watching your battery drain.
Samsung TV 65 Curved,TV,2099,Bestbuy,44114,Cleveland,OH,Yes,Samsung,No,oajak45,24,Male,Manager,5,2/14/2014,The best tv we have ever had!
Samsung TV 65 Curved,TV,1799,hhgregg,90012,Los Angeles,CA,Yes,Samsung,Yes,ztjpk75,32,Male,Secretary,3,12/5/2014,The TV has a nice picture and good sound quality for the price.
iPhone 6,Smart Phone,589,Frys,94102,San Francisco,CA,No,Apple,No,luetq20,23,Female,Programmer,5,6/18/2014,This is an amazing technological tool for both business and leisure i would highly recommend.
Dell Ispiron 15.6,Laptop,449,Frys,90033,Los Angeles,CA,Yes,Dell,No,wwdqf94,24,Male,Secretary,4,9/17/2014,This was a good upgrade for me. Was not sure about the Dell product but it fits the bill
Samsung TV 65 Curved,TV,2099,Bestbuy,60616,Chicago,IL,Yes,Samsung,No,bpzsw60,43,Male,Accountant,5,8/21/2014, Great Samsung 65   curve TV. 
iPhone 6,Smart Phone,960,Walmart,2108,Boston,MA,No,Apple,No,rxffm93,28,Male,Manager,1,8/13/2014,Battery overheats after few hours and then turns off
HP PAVALION  15.6,Laptop,298,hhgregg,94158,San Francisco,CA,Yes,HP,Yes,nqkvl17,26,Female,Accountant,4,12/1/2014,Computer has good memory and also touch screen. We liked the price which was a major selling point as similar computers were more expensive.
Samsung TV 60 LED,TV,1200,Walmart,60603,Chicago,IL,No,Samsung,No,zroiu41,19,Male,Student,5,8/21/2014,Great TV . It is great for watching sports or movies . Ohhh you can watch sitcoms too if you want ?
Samsung Tab 4,Tablet,299,Walmart,60585,Naperville,IL,Yes,Samsung,No,aclvq99,45,Female,Programmer,2,8/21/2014,CPU overheats and dies after few hours of use
LG 65,TV,999,hhgregg,60585,Naperville,IL,No,LG,No,frqwi72,31,Female,Unknown,5,7/23/2014,This is a great television for the money.
Surface 3,Tablet,969,Target,94158,San Francisco,CA,No,Microsoft,No,zokcz21,35,Female,Manager,5,3/24/2014,I have had it for a few weeks now and use it everyday. 
iPhone 6,Smart Phone,960,Frys,90033,Los Angeles,CA,No,Apple,No,amsnn82,58,Male,Unknown,5,7/10/2013,Happy with the purchase. Easy to get used to the bigger phone
LG 65,TV,2250,Bestbuy,90033,Los Angeles,CA,No,LG,No,ngvwp86,19,Male,Programmer,1,8/21/2014,There are many great tvs at Bestbuy.
Samsung TV 65 Curved,TV,2099,Bestbuy,44114,Cleveland,OH,Yes,Samsung,No,elgse14,18,Male,Accountant,4,12/27/2014,Some might prefer a bigger flat TV instead of the Curved for the same price.
Galaxy S4,Smart Phone,402,Frys,60616,Chicago,IL,No,Samsung,No,ipcfi15,25,Female,Manager,4,6/21/2014, this phone was purchased as an upgrade from a sony Ion. I don't regret it. Great sound
Samsung Tab 4,Tablet,349,Bestbuy,33129,Miami,FL,No,Samsung,No,qmqgd12,19,Male,Student,2,6/25/2014,In my opinion the LG G Pad is the better deal I have both tablets and use my G Pad way more than this one ...battery life sucks G Pad goes 4 days without charging
iPhone 6,Smart Phone,589,Walmart,90033,Los Angeles,CA,No,Apple,No,dxmng12,38,Female,Accountant,5,10/10/2013,I had android phones for years. I switched to this iPhone 6 since they finally have larger screens
HP PAVALION  15.6,Laptop,299,Frys,94158,San Francisco,CA,Yes,HP,No,jpapg81,26,Male,Manager,4,11/29/2014,Really enjoy the touch screen. New windows is great!
Galaxy S4,Smart Phone,269,Walmart,94102,San Francisco,CA,Yes,Samsung,Yes,opvmq90,20,Female,Student,4,5/25/2014, One of the better and less expensive Android phones on the market. Very easy to use
Samsung Tab 4,Tablet,299,Target,94102,San Francisco,CA,Yes,Samsung,No,ppvwz39,50,Male,Accountant,4,10/21/2014, It's a wifi tablet so you want have. Wifi in your home. Nice size
Surface 3,Tablet,969,hhgregg,60585,Naperville,IL,No,Microsoft,No,phhzc48,21,Male,Accountant,5,11/29/2014,excellent product - it is perfect for taking to class and everything else I need it for
iPad Air,Tablet,425,hhgregg,94158,San Francisco,CA,Yes,Apple,No,wnivs1,21,Female,Programmer,4,4/1/2015,I'm stuck in the apple marketing machine... I'm another victim. Do you want to upgrade a perfectly fine device every two years? Welcome to apple.
Galaxy S4,Smart Phone,269,Target,60603,Chicago,IL,Yes,Samsung,Yes,sdqes6,58,Female,Manager,5,4/19/2014,Always have good luck with Samsung products. Durable enough to last at least until my next upgrade availability.
Dell Ispiron 15.6,Laptop,328,hhgregg,90012,Los Angeles,CA,Yes,Dell,Yes,krdbs58,20,Male,Secretary,5,8/10/2014, I love this laptop
iPad Air,Tablet,499,Target,33130,Miami,FL,No,Apple,No,snyji80,25,Male,Programmer,5,8/21/2014, Light and very easy to use and tote around
iPhone 6,Smart Phone,589,hhgregg,2108,Boston,MA,No,Apple,No,qbnhd70,39,Male,Manager,3,8/18/2014, The phone is extremely thin and light which is great! However
iPhone 6,Smart Phone,399,Frys,90012,Los Angeles,CA,No,Apple,No,jslro67,26,Male,Secretary,1,12/14/2014,Battery overheats after few hours and then turns off
Dell Ispiron 15.6,Laptop,449,hhgregg,60603,Chicago,IL,Yes,Dell,No,fomrc53,52,Male,Manager,5,4/1/2015, This laptop is very fast. I enjoy it very much for Internet browsing
iPad Air,Tablet,299,Walmart,2110,Boston,MA,Yes,Apple,Yes,dzpwk29,57,Male,Accountant,5,12/27/2014,Works just like my iPhone. A little heavier than I expected
Samsung TV 60 LED,TV,1100,hhgregg,94102,San Francisco,CA,Yes,Samsung,No,jhquf43,56,Male,Secretary,1,2/15/2015, I had troubles from the beginning with the Netflix app
Samsung TV 60 LED,TV,1200,Target,44114,Cleveland,OH,No,Samsung,No,rispl90,37,Female,Unknown,4,6/18/2014, Purchase this TV after 20 years of service from my old 32   Panasonic.  
Dell Ispiron 15.6,Laptop,499,Bestbuy,94102,San Francisco,CA,No,Dell,No,neewf93,46,Female,Manager,4,10/10/2013,powerful laptop for the money only thing missing is dvd drive
Samsung TV 60 LED,TV,1200,Frys,94102,San Francisco,CA,No,Samsung,No,phihs2,34,Male,Secretary,5,10/28/2014, This TV out of the box was alright. I bought the disnew world of wonder calibration disc and it improved greatly
Samsung Tab 4,Tablet,349,Frys,60585,Naperville,IL,No,Samsung,No,ardij3,55,Female,Accountant,5,12/14/2014, I wanted this tablet for watching Netflix
iPhone 6,Smart Phone,589,Walmart,60603,Chicago,IL,No,Apple,No,apxvq98,43,Male,Manager,5,9/19/2013,Been using iPhone for years now. This is hands down the best model
Galaxy S4,Smart Phone,399,hhgregg,94158,San Francisco,CA,No,Samsung,No,zppkh2,24,Male,Student,4,7/16/2014,Bought it for my wife who is not tech savvy. She was able to learn to use it quickly. Like the looks and works great.
iPhone 6,Smart Phone,960,hhgregg,94158,San Francisco,CA,No,Apple,No,ehpkj27,56,Male,Student,4,10/25/2014, Finally the right size for iPhone. Fingerprint sensor is interesting. Camera is better. Other than that
Dell Ispiron 15.6,Laptop,349,Frys,94158,San Francisco,CA,Yes,Dell,No,colkq67,56,Male,Unknown,4,8/21/2014,I was looking for an upgrade for my old laptop and this was the answer from a price/performance standpoint.
Galaxy S4,Smart Phone,399,Frys,94102,San Francisco,CA,No,Samsung,No,hczum12,41,Male,Programmer,3,12/27/2014,Only 20 days old and screen cracked when set on top of a small particle on a desk
Galaxy S4,Smart Phone,402,hhgregg,44114,Cleveland,OH,No,Samsung,No,yjqno29,54,Female,Secretary,4,7/23/2014,I will be stopping at the next Bestbuy I come to. Having problem with the speaker on speaker phone. When used words break up.
Surface 3,Tablet,899,Bestbuy,90012,Los Angeles,CA,Yes,Microsoft,No,ubkjp22,31,Female,Manager,4,8/21/2014,I got tired of carrying around my heavy laptop
Samsung Tab 4,Tablet,349,Walmart,94158,San Francisco,CA,No,Samsung,No,atlnt31,58,Male,Accountant,2,4/19/2014,Battery overheats after few hours and then turns off
Samsung TV 65 Curved,TV,2199,Walmart,33130,Miami,FL,No,Samsung,No,dcisa18,30,Female,Manager,1,1/17/2015,Stay away from this TV. It overheats after few hours and then turns off
iPhone 6,Smart Phone,960,Bestbuy,2110,Boston,MA,No,Apple,No,atxju87,51,Male,Accountant,5,4/1/2015,This is my 3rd iPhone and they just keep getting better!
Samsung TV 60 LED,TV,1100,Frys,90033,Los Angeles,CA,Yes,Samsung,No,obxhw49,50,Male,Accountant,5,5/12/2014,This is my first samsung television and I am blown away by the quality of this product. Picture is super clear and the features are nice and easy to use after playing around.
HP PAVALION  15.6,Laptop,319,Walmart,90033,Los Angeles,CA,No,HP,No,adkzo78,21,Female,Manager,3,7/19/2014,I love it. i don't have any problem on this product.
LG 65,TV,849,hhgregg,94158,San Francisco,CA,Yes,LG,Yes,whksa8,49,Female,Manager,4,12/15/2013, It has excellent clarity and motion refresh for Blu-Ray movies and Gaming (Xbox One
Galaxy S4,Smart Phone,390,Walmart,60585,Naperville,IL,Yes,Samsung,No,ajwcl35,31,Male,Programmer,5,9/20/2014, I have had an Iphone for the past 5 years and thought that was the only way to go
iPad Air,Tablet,299,hhgregg,33129,Miami,FL,Yes,Apple,Yes,qhdvi64,49,Male,Student,5,12/1/2014,iPads are always nice. and the lightweight aspect of the iPad air makes it even better.
Samsung TV 60 LED,TV,1100,Bestbuy,60616,Chicago,IL,Yes,Samsung,No,utcwr8,21,Male,Programmer,4,5/15/2013,I love the tv. I only wish the sound quality was better.
Samsung TV 60 LED,TV,1100,Bestbuy,94158,San Francisco,CA,Yes,Samsung,No,bqrqn85,40,Male,Programmer,5,11/25/2014, I would recommended bestbuy to anyone. I love shopping there
Galaxy S4,Smart Phone,402,Target,94102,San Francisco,CA,No,Samsung,No,glmic22,44,Female,Secretary,5,4/19/2014,I loved this phone. 
Samsung Tab 4,Tablet,299,Frys,94158,San Francisco,CA,Yes,Samsung,No,aklmy78,34,Male,Secretary,4,5/15/2013, we have been very pleased with the Samsung products as far as reliability
Dell Ispiron 15.6,Laptop,449,hhgregg,94102,San Francisco,CA,Yes,Dell,No,eckiu30,44,Male,Secretary,5,5/15/2013,Great laptop exceeds expectations and completely fulfilled my need for a unit that was touchscreen and easy to navigate.
Dell Ispiron 15.6,Laptop,328,Walmart,94102,San Francisco,CA,Yes,Dell,Yes,jlwvl36,54,Female,Programmer,5,2/1/2015,The cost out weighed the lack of memory. I had to upgrade it to 16GB to get the performance I needed. 
LG 65,TV,849,Bestbuy,94158,San Francisco,CA,Yes,LG,Yes,zmsrn68,22,Female,Accountant,3,4/1/2015, Bottom line
Dell Ispiron 15.6,Laptop,499,Bestbuy,60616,Chicago,IL,No,Dell,No,meyid91,50,Male,Accountant,4,8/21/2014,I got this laptop last month from a sale and the first one I got the screen went black on me
LG 65,TV,849,Bestbuy,2108,Boston,MA,Yes,LG,Yes,ejnnq63,18,Male,Programmer,5,8/1/2014,Extremely pleased. 
Dell Ispiron 15.6,Laptop,349,hhgregg,44114,Cleveland,OH,Yes,Dell,No,tixyo58,32,Male,Unknown,4,8/2/2014,Overall a great computer and very fast.
Galaxy S4,Smart Phone,399,Walmart,2109,Boston,MA,No,Samsung,No,kapmw65,27,Female,Programmer,5,8/3/2014,We are very happy with our new Samsung and also with the trade in of our old cell phone.
Samsung TV 65 Curved,TV,1900,Frys,60585,Naperville,IL,No,Samsung,No,owskd23,46,Male,Unknown,5,3/10/2015,The picture quality is amazing.
HP PAVALION  15.6,Laptop,319,Target,90033,Los Angeles,CA,No,HP,No,avgnu10,25,Male,Student,5,2/15/2014, this laptop is just what I was looking for home office work
LG 65,TV,849,Frys,90012,Los Angeles,CA,Yes,LG,Yes,gwajz85,50,Male,Secretary,3,5/19/2014,The picture was not clear when motion was involved unless you used the correct picture preset for the type of content that you were viewing
LG 65,TV,2250,Frys,60603,Chicago,IL,No,LG,No,edtmp48,26,Female,Manager,5,1/15/2012,I never realized there were differences in televisions until we bought this one. Its amazing!
iPad Air,Tablet,299,Walmart,2108,Boston,MA,Yes,Apple,Yes,fexxc94,39,Female,Secretary,5,12/10/2014, Good
Samsung Tab 4,Tablet,299,Walmart,44114,Cleveland,OH,Yes,Samsung,No,ebatx33,21,Male,Unknown,4,6/25/2014, My husband loves his tablet. The quality is great
Samsung TV 60 LED,TV,1100,Walmart,90012,Los Angeles,CA,Yes,Samsung,No,hhbqm93,54,Male,Accountant,5,4/19/2014,This TV is great with a fabulous picture and feature rich options. I can connect to my phone in addition to the wifi which makes it easy to use the movie and music options.
Dell Ispiron 15.6,Laptop,499,Target,60616,Chicago,IL,No,Dell,No,akztx26,45,Female,Secretary,5,8/21/2014, Very quick
LG 65,TV,849,hhgregg,2110,Boston,MA,Yes,LG,Yes,jcuxv79,27,Female,Programmer,5,8/21/2014,This LG TV has a nice sharp clear picture!
Dell Ispiron 15.6,Laptop,349,Frys,60585,Naperville,IL,Yes,Dell,No,iygsj70,58,Male,Secretary,1,8/21/2014,I paid $475 dollar for an extended warranty that oh by the way doesn't cover SOFTWARE troubleshooting
Galaxy S4,Smart Phone,402,Target,94158,San Francisco,CA,No,Samsung,No,noidp0,35,Male,Accountant,5,12/5/2014,Sure the Galaxy 5 is out now...but if you're looking to upgrade from a flip-phone or an older model Galaxy...the 4 is out there with GREAT pricing too.
iPhone 6,Smart Phone,299,Frys,33130,Miami,FL,Yes,Apple,No,ooyky26,50,Male,Secretary,5,12/14/2014,I've had almost every Iphone that has came out by far this is the best one!!
Surface 3,Tablet,925,Frys,60603,Chicago,IL,No,Microsoft,No,toria43,23,Male,Unknown,5,6/18/2014,Really like the size and weight of this device.
LG 65,TV,999,hhgregg,60585,Naperville,IL,No,LG,No,obymj55,52,Male,Unknown,4,12/20/2014, Easy hook up
Surface 3,Tablet,999,Walmart,60616,Chicago,IL,No,Microsoft,No,yefrv53,51,Female,Secretary,1,3/24/2014,Battery overheats after few hours and then turns off
Dell Ispiron 15.6,Laptop,328,hhgregg,94102,San Francisco,CA,Yes,Dell,Yes,mbufg47,59,Male,Student,5,5/19/2014, All the products firstrate
Surface 3,Tablet,969,Bestbuy,2108,Boston,MA,No,Microsoft,No,gtqhj60,35,Male,Student,5,9/19/2013,I purchased my tablet to replace a laptop.
HP PAVALION  15.6,Laptop,376,Bestbuy,60603,Chicago,IL,No,HP,No,nqgyv41,22,Male,Programmer,5,2/1/2015,The computer is very easy to use and the speed is very good for the price.
iPad Air,Tablet,499,Walmart,94102,San Francisco,CA,No,Apple,No,gxzlv82,43,Male,Manager,3,5/15/2013,For the price the size was found to be way to big when compared with the retina mini.
iPhone 6,Smart Phone,399,Walmart,44114,Cleveland,OH,No,Apple,No,flbcg99,34,Female,Manager,4,12/27/2014, Typical Apple Device. Will definitely impress the Apple family. Nice design
Samsung Tab 4,Tablet,349,Bestbuy,94102,San Francisco,CA,No,Samsung,No,mjbcr52,44,Male,Accountant,5,8/21/2014,this is a amazing product I will recommend this to anyone.
Galaxy S4,Smart Phone,269,hhgregg,60616,Chicago,IL,Yes,Samsung,Yes,rsxlz6,27,Male,Unknown,4,6/10/2014, Bought two of these for $1. Switched from an iPhone and a Windows phone. Very pleased with the quality of the phone
Galaxy S4,Smart Phone,402,hhgregg,2108,Boston,MA,No,Samsung,No,wxidz22,36,Male,Accountant,2,12/10/2014,bad buy;  overheats after 30 minutes
HP PAVALION  15.6,Laptop,319,hhgregg,60585,Naperville,IL,No,HP,No,qyypa62,37,Female,Secretary,5,12/20/2014, So far
Dell Ispiron 15.6,Laptop,349,Target,94158,San Francisco,CA,Yes,Dell,No,gftfh22,35,Male,Accountant,5,8/18/2014,I bought this for my son who is going to College in the fall. He loves it. He likes that it's light weight and has a lighted keypad.
Dell Ispiron 15.6,Laptop,449,Walmart,94158,San Francisco,CA,Yes,Dell,No,swvme43,24,Male,Unknown,1,12/1/2014,Nice laptop with a horrible WiFi connection.
Surface 3,Tablet,999,Walmart,60585,Naperville,IL,No,Microsoft,No,pjxvw71,58,Male,Student,5,2/14/2014,My husband and I had an iPad and didn't like it because it wouldn't work like a laptop. 
Samsung TV 60 LED,TV,1100,Frys,90012,Los Angeles,CA,Yes,Samsung,No,akaoo6,47,Female,Accountant,4,8/18/2014,Would recommend this product to family and friends .
Samsung TV 60 LED,TV,1200,Frys,60585,Naperville,IL,No,Samsung,No,kghlu66,31,Female,Unknown,5,5/25/2014, Great Product
Samsung Tab 4,Tablet,349,Frys,90012,Los Angeles,CA,No,Samsung,No,fmzjr74,45,Female,Student,5,7/10/2013,It's an easy to use tablet that my wife loves to play games on. It also takes great pictures.
Samsung TV 65 Curved,TV,1900,Frys,2110,Boston,MA,No,Samsung,No,puszx43,42,Male,Unknown,3,12/20/2014,I thing not as good for this price
iPad Air,Tablet,299,Frys,94102,San Francisco,CA,Yes,Apple,Yes,scvur4,39,Male,Manager,5,5/15/2013,We have all Apple products and my kids already had this same iPad but I wanted one of my own. Great product!
HP PAVALION  15.6,Laptop,376,hhgregg,94158,San Francisco,CA,No,HP,No,ynyxi64,45,Male,Student,5,12/14/2014,Bestbuy did good too. Got it to me quick at a great price.
Galaxy S4,Smart Phone,269,Frys,33130,Miami,FL,Yes,Samsung,Yes,ihiky73,56,Male,Secretary,5,5/19/2014,I LOVE this phone. So glad I got it over the iphone. Does everything I need and its solid
Surface 3,Tablet,899,Walmart,60603,Chicago,IL,Yes,Microsoft,No,mldbk20,43,Male,Secretary,4,5/20/2014,The product is working fairly well.
iPhone 6,Smart Phone,589,Target,94158,San Francisco,CA,No,Apple,No,uabzu38,19,Male,Secretary,5,5/21/2014, Apple hit a home run with the new iPhone 6. Personally
